0000000095,0000187906,211,29,-235,3,145,-41,-105,-2
0000000096,0000189905,87,176,-255,4,108,52,-155,-2
0000000097,0000191904,-67,259,-179,4,27,126,-146,-1
0000000098,0000193903,-196,245,-29,1,-61,154,-84,0
0000000099,0000195902,-252,134,127,0,-127,125,9,2
0000000100,0000197901,-210,-31,235,-3,-148,51,94,3
0000000101,0000199900,-86,-175,252,-3,-109,-42,144,2
0000000102,0000201899,67,-255,176,-3,-31,-118,139,1
0000000103,0000203898,193,-241,31,-1,60,-148,80,0
0000000104,0000205897,248,-135,-122,2,128,-120,-15,-1
0000000105,0000207896,210,26,-231,5,146,-44,-105,-2
0000000106,0000209895,88,173,-252,4,109,51,-157,-2
0000000107,0000211894,-65,255,-178,3,28,126,-148,-1
0000000108,0000213893,-193,243,-29,1,-62,154,-84,1
0000000109,0000215892,-249,134,124,-1,-129,125,11,2
0000000110,0000217891,-211,-29,232,-3,-149,51,96,2
0000000111,0000219890,-87,-172,250,-4,-110,-44,146,2
0000000112,0000221889,65,-252,176,-3,-31,-121,141,1
0000000113,0000223888,191,-239,31,-2,60,-151,81,0
0000000114,0000225887,247,-135,-120,1,128,-123,-14,-1
0000000115,0000227886,212,24,-229,3,147,-46,-104,-2
0000000116,0000229885,89,171,-251,4,111,51,-157,-2
0000000117,0000231884,-63,252,-177,3,29,127,-148,-1
0000000118,0000233883,-191,242,-31,1,-62,157,-83,0
0000000119,0000235882,-248,135,121,-1,-129,126,9,2
0000000120,0000237881,-210,-27,230,-3,-149,51,97,2
0000000121,0000239880,-87,-172,248,-4,-111,-45,148,2
0000000122,0000241879,63,-250,176,-3,-31,-122,143,2
0000000123,0000243878,190,-240,33,-1,60,-153,84,1
0000000124,0000245877,246,-136,-118,3,127,-125,-13,-1
0000000125,0000247876,210,23,-227,3,148,-48,-103,-2
0000000126,0000249875,89,168,-250,4,111,49,-157,-2
0000000127,0000251874,-62,252,-177,3,30,125,-148,-1
0000000128,0000253873,-190,242,-32,1,-61,157,-85,0
0000000129,0000255872,-246,135,120,0,-129,126,10,2
0000000130,0000257871,-210,-25,229,-3,-150,51,98,3
0000000131,0000259870,-88,-168,248,-4,-112,-45,149,3
0000000132,0000261869,62,-248,176,-3,-32,-123,144,2
0000000133,0000263868,188,-240,35,-1,59,-154,85,0
0000000134,0000265867,244,-137,-117,1,128,-126,-10,-1
0000000135,0000267866,213,21,-227,3,148,-50,-101,-1
0000000136,0000269865,90,167,-249,3,112,48,-156,-1
0000000137,0000271864,-61,249,-177,4,31,126,-148,-1
0000000138,0000273863,-188,241,-34,2,-60,157,-87,0
0000000139,0000275862,-246,137,117,-1,-128,127,9,2
0000000140,0000277861,-211,-23,227,-3,-150,52,98,3
0000000141,0000279860,-90,-166,247,-4,-114,-45,149,3
0000000142,0000281859,60,-248,177,-4,-33,-124,145,2
0000000143,0000283858,187,-240,37,-1,58,-155,87,0
0000000144,0000285857,244,-138,-115,2,128,-127,-7,-1
0000000145,0000287856,212,20,-226,3,148,-51,-100,-2
0000000146,0000289855,91,164,-248,4,112,46,-156,-2
0000000147,0000291854,-58,249,-179,4,33,125,-148,-1
0000000148,0000293853,-187,241,-36,1,-59,157,-87,0
0000000149,0000295852,-245,138,115,-1,-128,127,8,2
0000000150,0000297851,-212,-22,225,-3,-150,53,96,2
0000000151,0000299850,-92,-165,248,-4,-113,-45,150,3
0000000152,0000301849,58,-247,179,-4,-34,-124,146,2
0000000153,0000303848,183,-240,39,-2,57,-156,87,0
0000000154,0000305847,244,-140,-115,1,126,-129,-8,-3
0000000155,0000307846,212,17,-225,3,148,-53,-99,-2
0000000156,0000309845,93,164,-250,4,113,46,-155,-1
0000000157,0000311844,-57,248,-180,4,33,123,-148,0
0000000158,0000313843,-185,241,-37,1,-58,157,-88,0
0000000159,0000315842,-245,140,114,-2,-129,128,7,2
0000000160,0000317841,-213,-19,225,-4,-150,54,97,1
0000000161,0000319840,-92,-163,247,-3,-113,-44,150,3
0000000162,0000321839,57,-246,179,-4,-34,-123,147,2
0000000163,0000323838,184,-240,40,-1,57,-157,89,1
0000000164,0000325837,243,-140,-112,2,128,-131,-6,-1
0000000165,0000327836,214,16,-224,4,149,-54,-98,-2
0000000166,0000329835,94,161,-248,3,114,44,-155,-2
0000000167,0000331834,-55,247,-181,4,35,124,-148,-1
0000000168,0000333833,-184,242,-39,1,-57,157,-89,1
0000000169,0000335832,-244,142,112,0,-128,129,6,2
0000000170,0000337831,-213,-17,224,-2,-151,55,96,3
0000000171,0000339830,-94,-161,248,-3,-114,-43,150,3
0000000172,0000341829,55,-245,181,-4,-35,-123,147,3
0000000173,0000343828,182,-241,42,-1,57,-157,91,1
0000000174,0000345827,243,-142,-110,1,127,-130,-3,-1
0000000175,0000347826,214,13,-222,3,149,-56,-96,-2
0000000176,0000349825,96,161,-248,4,115,43,-154,-2
